BookID,ISBN,Title,Category,Author,Publisher,Price,Stock,YearOfPublication,ImageUrlSmall,ImageUrlMedium,ImageUrlLarge
1,195153448,Classical Mythology,Historical-fiction,Mark P. O. Morford,Oxford University Press,544,214,2002,http://images.amazon.com/images/P/0195153448.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0195153448.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0195153448.01.LZZZZZZZ.jpg
2,2005018,Clara Callan,Science-Fiction,Richard Bruce Wright,HarperFlamingo Canada,501,297,2001,http://images.amazon.com/images/P/0002005018.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0002005018.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0002005018.01.LZZZZZZZ.jpg
3,60973129,Decision in Normandy,Mystery,Carlo D'Este,HarperPerennial,900,170,1991,http://images.amazon.com/images/P/0060973129.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0060973129.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0060973129.01.LZZZZZZZ.jpg
4,374157065,Flu: The Story of the Great Influenza Pandemic of 1918 and the Search for the Virus That Caused It,Historical-Fantasy,Gina Bari Kolata,Farrar Straus Giroux,594,200,1999,http://images.amazon.com/images/P/0374157065.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0374157065.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0374157065.01.LZZZZZZZ.jpg
5,393045218,The Mummies of Urumchi,Mystery,E. J. W. Barber,W. W. Norton &amp; Company,408,199,1999,http://images.amazon.com/images/P/0393045218.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0393045218.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0393045218.01.LZZZZZZZ.jpg
6,399135782,The Kitchen God's Wife,Mystery,Amy Tan,Putnam Pub Group,915,461,1991,http://images.amazon.com/images/P/0399135782.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0399135782.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0399135782.01.LZZZZZZZ.jpg
7,425176428,What If?: The World's Foremost Military Historians Imagine What Might Have Been,Science-Fiction,Robert Cowley,Berkley Publishing Group,839,454,2000,http://images.amazon.com/images/P/0425176428.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0425176428.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0425176428.01.LZZZZZZZ.jpg
8,671870432,PLEADING GUILTY,Science-Fiction,Scott Turow,Audioworks,562,282,1993,http://images.amazon.com/images/P/0671870432.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0671870432.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0671870432.01.LZZZZZZZ.jpg
9,679425608,Under the Black Flag: The Romance and the Reality of Life Among the Pirates,Historical-fiction,David Cordingly,Random House,984,208,1996,http://images.amazon.com/images/P/0679425608.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0679425608.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0679425608.01.LZZZZZZZ.jpg
10,074322678X,Where You'll Find Me: And Other Stories,Historical-Fantasy,Ann Beattie,Scribner,869,166,2002,http://images.amazon.com/images/P/074322678X.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/074322678X.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/074322678X.01.LZZZZZZZ.jpg
11,771074670,Nights Below Station Street,Historical-fiction,David Adams Richards,Emblem Editions,571,444,1988,http://images.amazon.com/images/P/0771074670.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0771074670.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0771074670.01.LZZZZZZZ.jpg
12,080652121X,Hitler's Secret Bankers: The Myth of Swiss Neutrality During the Holocaust,Non-Fiction,Adam Lebor,Citadel Press,792,435,2000,http://images.amazon.com/images/P/080652121X.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/080652121X.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/080652121X.01.LZZZZZZZ.jpg
13,887841740,The Middle Stories,Mystery,Sheila Heti,House of Anansi Press,695,210,2004,http://images.amazon.com/images/P/0887841740.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0887841740.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0887841740.01.LZZZZZZZ.jpg
14,1552041778,Jane Doe,Historical-Fantasy,R. J. Kaiser,Mira Books,392,230,1999,http://images.amazon.com/images/P/1552041778.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/1552041778.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/1552041778.01.LZZZZZZZ.jpg
15,1558746218,A Second Chicken Soup for the Woman's Soul (Chicken Soup for the Soul Series),Autobiography,Jack Canfield,Health Communications,622,413,1998,http://images.amazon.com/images/P/1558746218.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/1558746218.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/1558746218.01.LZZZZZZZ.jpg
16,1567407781,The Witchfinder (Amos Walker Mystery Series),Non-Fiction,Loren D. Estleman,Brilliance Audio - Trade,542,360,1998,http://images.amazon.com/images/P/1567407781.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/1567407781.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/1567407781.01.LZZZZZZZ.jpg
17,1575663937,More Cunning Than Man: A Social History of Rats and Man,Fiction,Robert Hendrickson,Kensington Publishing Corp.,863,209,1999,http://images.amazon.com/images/P/1575663937.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/1575663937.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/1575663937.01.LZZZZZZZ.jpg
18,1881320189,Goodbye to the Buttermilk Sky,Mystery,Julia Oliver,River City Pub,643,276,1994,http://images.amazon.com/images/P/1881320189.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/1881320189.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/1881320189.01.LZZZZZZZ.jpg
19,440234743,The Testament,Historical-fiction,John Grisham,Dell,364,187,1999,http://images.amazon.com/images/P/0440234743.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0440234743.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0440234743.01.LZZZZZZZ.jpg
20,452264464,Beloved (Plume Contemporary Fiction),Non-Fiction,Toni Morrison,Plume,439,497,1994,http://images.amazon.com/images/P/0452264464.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0452264464.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0452264464.01.LZZZZZZZ.jpg
21,609804618,Our Dumb Century: The Onion Presents 100 Years of Headlines from America's Finest News Source,Science-Fiction,The Onion,Three Rivers Press,900,457,1999,http://images.amazon.com/images/P/0609804618.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0609804618.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0609804618.01.LZZZZZZZ.jpg
22,1841721522,New Vegetarian: Bold and Beautiful Recipes for Every Occasion,Mystery,Celia Brooks Brown,Ryland Peters &amp; Small Ltd,545,419,2001,http://images.amazon.com/images/P/1841721522.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/1841721522.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/1841721522.01.LZZZZZZZ.jpg
23,1879384493,If I'd Known Then What I Know Now: Why Not Learn from the Mistakes of Others? : You Can't Afford to Make Them All Yourself,Mystery,J. R. Parrish,Cypress House,617,199,2003,http://images.amazon.com/images/P/1879384493.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/1879384493.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/1879384493.01.LZZZZZZZ.jpg
24,61076031,Mary-Kate &amp; Ashley Switching Goals (Mary-Kate and Ashley Starring in),Autobiography,Mary-Kate &amp; Ashley Olsen,HarperEntertainment,493,270,2000,http://images.amazon.com/images/P/0061076031.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0061076031.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0061076031.01.LZZZZZZZ.jpg
25,439095026,Tell Me This Isn't Happening,Non-Fiction,Robynn Clairday,Scholastic,703,179,1999,http://images.amazon.com/images/P/0439095026.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0439095026.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0439095026.01.LZZZZZZZ.jpg
26,689821166,Flood : Mississippi 1927,Non-Fiction,Kathleen Duey,Aladdin,448,213,1998,http://images.amazon.com/images/P/0689821166.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0689821166.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0689821166.01.LZZZZZZZ.jpg
27,971880107,Wild Animus,Mystery,Rich Shapero,Too Far,425,486,2004,http://images.amazon.com/images/P/0971880107.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0971880107.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0971880107.01.LZZZZZZZ.jpg
28,345402871,Airframe,Fiction,Michael Crichton,Ballantine Books,718,192,1997,http://images.amazon.com/images/P/0345402871.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0345402871.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0345402871.01.LZZZZZZZ.jpg
29,345417623,Timeline,Historical-Fantasy,MICHAEL CRICHTON,Ballantine Books,520,189,2000,http://images.amazon.com/images/P/0345417623.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0345417623.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0345417623.01.LZZZZZZZ.jpg
30,684823802,OUT OF THE SILENT PLANET,Non-Fiction,C.S. Lewis,Scribner,523,334,1996,http://images.amazon.com/images/P/0684823802.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0684823802.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0684823802.01.LZZZZZZZ.jpg
31,375759778,Prague : A Novel,Historical-fiction,ARTHUR PHILLIPS,Random House Trade Paperbacks,752,283,2003,http://images.amazon.com/images/P/0375759778.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0375759778.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0375759778.01.LZZZZZZZ.jpg
32,425163091,Chocolate Jesus,Non-Fiction,Stephan Jaramillo,Berkley Publishing Group,763,163,1998,http://images.amazon.com/images/P/0425163091.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0425163091.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0425163091.01.LZZZZZZZ.jpg
33,3404921038,Wie Barney es sieht.,Historical-Fantasy,Mordecai Richler,LÃ?Â¼bbe,351,345,2002,http://images.amazon.com/images/P/3404921038.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/3404921038.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/3404921038.01.LZZZZZZZ.jpg
34,3442353866,Der Fluch der Kaiserin. Ein Richter- Di- Roman.,Mystery,Eleanor Cooney,Goldmann,386,310,2001,http://images.amazon.com/images/P/3442353866.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/3442353866.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/3442353866.01.LZZZZZZZ.jpg
35,3442410665,Sturmzeit. Roman.,Non-Fiction,Charlotte Link,Goldmann,535,397,1991,http://images.amazon.com/images/P/3442410665.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/3442410665.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/3442410665.01.LZZZZZZZ.jpg
36,3442446937,Tage der Unschuld.,Fiction,Richard North Patterson,Goldmann,393,272,2000,http://images.amazon.com/images/P/3442446937.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/3442446937.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/3442446937.01.LZZZZZZZ.jpg
37,375406328,Lying Awake,Historical-fiction,Mark Salzman,Alfred A. Knopf,836,292,2000,http://images.amazon.com/images/P/0375406328.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0375406328.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0375406328.01.LZZZZZZZ.jpg
38,446310786,To Kill a Mockingbird,Historical-fiction,Harper Lee,Little Brown &amp; Company,942,153,1988,http://images.amazon.com/images/P/0446310786.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0446310786.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0446310786.01.LZZZZZZZ.jpg
39,449005615,Seabiscuit: An American Legend,Fiction,LAURA HILLENBRAND,Ballantine Books,641,330,2002,http://images.amazon.com/images/P/0449005615.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0449005615.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0449005615.01.LZZZZZZZ.jpg
40,60168013,Pigs in Heaven,Science-Fiction,Barbara Kingsolver,Harpercollins,377,443,1993,http://images.amazon.com/images/P/0060168013.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0060168013.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0060168013.01.LZZZZZZZ.jpg
41,038078243X,Miss Zukas and the Raven's Dance,Historical-fiction,Jo Dereske,Avon,678,496,1996,http://images.amazon.com/images/P/038078243X.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/038078243X.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/038078243X.01.LZZZZZZZ.jpg
42,055321215X,Pride and Prejudice,Science-Fiction,Jane Austen,Bantam,578,444,1983,http://images.amazon.com/images/P/055321215X.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/055321215X.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/055321215X.01.LZZZZZZZ.jpg
43,067176537X,The Therapeutic Touch: How to Use Your Hands to Help or to Heal,Mystery,Dolores Krieger,Fireside,477,335,1979,http://images.amazon.com/images/P/067176537X.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/067176537X.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/067176537X.01.LZZZZZZZ.jpg
44,61099686,Downtown,Autobiography,Anne Rivers Siddons,HarperTorch,568,288,1995,http://images.amazon.com/images/P/0061099686.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0061099686.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0061099686.01.LZZZZZZZ.jpg
45,553582909,Icebound,Science-Fiction,Dean R. Koontz,Bantam Books,584,237,2000,http://images.amazon.com/images/P/0553582909.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0553582909.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0553582909.01.LZZZZZZZ.jpg
46,671888587,I'll Be Seeing You,Science-Fiction,Mary Higgins Clark,Pocket,550,161,1994,http://images.amazon.com/images/P/0671888587.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0671888587.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0671888587.01.LZZZZZZZ.jpg
47,553582747,From the Corner of His Eye,Non-Fiction,Dean Koontz,Bantam Books,355,167,2001,http://images.amazon.com/images/P/0553582747.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0553582747.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0553582747.01.LZZZZZZZ.jpg
48,425182908,Isle of Dogs,Science-Fiction,Patricia Cornwell,Berkley Publishing Group,560,494,2002,http://images.amazon.com/images/P/0425182908.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0425182908.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0425182908.01.LZZZZZZZ.jpg
49,042518630X,Purity in Death,Mystery,J.D. Robb,Berkley Publishing Group,685,274,2002,http://images.amazon.com/images/P/042518630X.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/042518630X.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/042518630X.01.LZZZZZZZ.jpg
50,440223571,This Year It Will Be Different: And Other Stories,Autobiography,Maeve Binchy,Dell,633,314,1997,http://images.amazon.com/images/P/0440223571.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0440223571.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0440223571.01.LZZZZZZZ.jpg
51,812523873,Proxies,Fiction,Laura J. Mixon,Tor Books,839,334,1999,http://images.amazon.com/images/P/0812523873.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0812523873.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0812523873.01.LZZZZZZZ.jpg
52,842342702,Left Behind: A Novel of the Earth's Last Days (Left Behind #1),Fiction,Tim Lahaye,Tyndale House Publishers,427,335,2000,http://images.amazon.com/images/P/0842342702.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0842342702.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0842342702.01.LZZZZZZZ.jpg
